,codmunres,year,cs_sexo,faixa,count
147,110012.0,2017.0,1,1014,1
148,110012.0,2017.0,1,1519,2
149,110012.0,2017.0,1,2024,1
150,110012.0,2017.0,1,2529,2
151,110012.0,2017.0,1,3034,1
152,110012.0,2017.0,1,4,1
153,110012.0,2017.0,1,4044,1
154,110012.0,2017.0,1,5054,1
155,110012.0,2017.0,1,509,1
156,110012.0,2017.0,2,2529,2
157,110012.0,2017.0,2,4549,1
158,110012.0,2017.0,2,509,1
159,110012.0,2019.0,1,3034,1
160,110014.0,2019.0,2,4,1
161,110015.0,2017.0,1,2529,1
162,110015.0,2017.0,1,3034,1
163,110015.0,2017.0,1,4044,1
164,110015.0,2017.0,2,3539,1
165,110015.0,2017.0,2,4549,1
166,110015.0,2019.0,1,1519,1
167,110015.0,2019.0,1,2529,1
168,110015.0,2019.0,1,3034,1
169,110015.0,2019.0,1,4,1
170,110015.0,2019.0,1,4044,2
171,110015.0,2019.0,1,5054,1
172,110015.0,2019.0,2,6064,1
173,110018.0,2016.0,1,1014,1
174,110018.0,2016.0,1,1519,1
175,110018.0,2016.0,1,2024,2
176,110018.0,2016.0,1,4,1
177,110018.0,2016.0,2,4,1
178,110020.0,2015.0,1,2529,1
179,110020.0,2015.0,1,4549,1
180,110020.0,2016.0,1,1014,11
181,110020.0,2016.0,1,1519,9
182,110020.0,2016.0,1,2024,26
183,110020.0,2016.0,1,2529,20
184,110020.0,2016.0,1,3034,21
185,110020.0,2016.0,1,3539,18
186,110020.0,2016.0,1,4,6
187,110020.0,2016.0,1,4044,7
188,110020.0,2016.0,1,4549,3
189,110020.0,2016.0,1,5054,7
190,110020.0,2016.0,1,509,6
191,110020.0,2016.0,1,5559,1
192,110020.0,2016.0,1,6569,1
193,110020.0,2016.0,2,1014,9
194,110020.0,2016.0,2,1519,3
195,110020.0,2016.0,2,2024,2
196,110020.0,2016.0,2,2529,3
197,110020.0,2016.0,2,3034,4
198,110020.0,2016.0,2,3539,10
199,110020.0,2016.0,2,4,14
200,110020.0,2016.0,2,4044,3
201,110020.0,2016.0,2,4549,6
202,110020.0,2016.0,2,5054,3
203,110020.0,2016.0,2,509,13
204,110020.0,2016.0,2,5559,2
205,110020.0,2016.0,2,6064,1
206,110020.0,2016.0,2,6569,2
207,110020.0,2017.0,1,1014,2
208,110020.0,2017.0,1,1519,5
209,110020.0,2017.0,1,2024,5
210,110020.0,2017.0,1,2529,6
211,110020.0,2017.0,1,3034,11
212,110020.0,2017.0,1,3539,5
213,110020.0,2017.0,1,4,4
214,110020.0,2017.0,1,4549,2
215,110020.0,2017.0,1,5054,1
216,110020.0,2017.0,1,509,2
217,110020.0,2017.0,1,7074,1
218,110020.0,2017.0,2,1519,2
219,110020.0,2017.0,2,3539,1
220,110020.0,2017.0,2,4044,2
221,110020.0,2017.0,2,4549,2
222,110020.0,2017.0,2,509,4
223,110020.0,2019.0,1,1519,1
224,110020.0,2019.0,1,2024,2
225,110020.0,2019.0,1,2529,1
226,110020.0,2019.0,1,3539,1
227,110020.0,2019.0,1,4,1
228,110020.0,2019.0,1,4044,4
229,110020.0,2019.0,1,4549,2
230,110020.0,2019.0,1,5054,1
231,110020.0,2019.0,2,1519,2
232,110020.0,2019.0,2,2024,1
233,110020.0,2019.0,2,2529,1
234,110020.0,2019.0,2,3034,4
235,110020.0,2019.0,2,3539,2
236,110020.0,2019.0,2,4,2
237,110020.0,2019.0,2,4044,1
238,110020.0,2019.0,2,4549,1
239,110020.0,2019.0,2,5054,1
240,110020.0,2019.0,2,5559,1
241,110020.0,2019.0,2,6064,1
242,110020.0,2019.0,2,6569,2
243,110025.0,2016.0,1,3539,1
244,110025.0,2019.0,1,2024,1
245,110025.0,2019.0,1,2529,1
246,110025.0,2019.0,1,3034,2
247,110025.0,2019.0,1,3539,3
248,110025.0,2019.0,1,4044,1
249,110025.0,2019.0,1,509,2
250,110025.0,2019.0,2,4,1
251,110025.0,2019.0,2,4044,1
252,110025.0,2019.0,2,4549,1
253,110025.0,2019.0,2,509,1
254,110025.0,2019.0,2,8099,2
255,110028.0,2016.0,1,1519,3
256,110028.0,2016.0,1,2024,6
257,110028.0,2016.0,1,2529,3
258,110028.0,2016.0,1,3034,3
259,110028.0,2016.0,1,3539,1
260,110028.0,2016.0,1,4,1
261,110028.0,2016.0,1,4044,3
262,110028.0,2016.0,1,6064,1
263,110028.0,2016.0,2,2024,1
264,110028.0,2016.0,2,3034,1
265,110028.0,2016.0,2,4,1
266,110028.0,2016.0,2,4044,1
267,110028.0,2016.0,2,5054,1
268,110028.0,2019.0,1,2024,1
269,110029.0,2016.0,1,2024,1
270,110029.0,2016.0,1,2529,1
271,110029.0,2016.0,1,4,1
272,110030.0,2015.0,2,509,1
273,110030.0,2016.0,1,1014,12
274,110030.0,2016.0,1,1519,23
275,110030.0,2016.0,1,2024,35
276,110030.0,2016.0,1,2529,41
277,110030.0,2016.0,1,3034,21
278,110030.0,2016.0,1,3539,12
279,110030.0,2016.0,1,4,9
280,110030.0,2016.0,1,4044,16
281,110030.0,2016.0,1,4549,9
282,110030.0,2016.0,1,5054,9
283,110030.0,2016.0,1,509,11
284,110030.0,2016.0,1,5559,6
285,110030.0,2016.0,1,6064,3
286,110030.0,2016.0,1,6569,1
287,110030.0,2016.0,1,7074,3
288,110030.0,2016.0,1,8099,1
289,110030.0,2016.0,2,1014,10
290,110030.0,2016.0,2,1519,6
291,110030.0,2016.0,2,2024,11
292,110030.0,2016.0,2,2529,4
293,110030.0,2016.0,2,3034,3
294,110030.0,2016.0,2,3539,4
295,110030.0,2016.0,2,4,11
296,110030.0,2016.0,2,4044,5
297,110030.0,2016.0,2,4549,1
298,110030.0,2016.0,2,5054,2
299,110030.0,2016.0,2,509,7
300,110030.0,2016.0,2,6064,2
301,110030.0,2016.0,2,6569,1
302,110030.0,2016.0,2,8099,1
303,110030.0,2017.0,1,1519,3
304,110030.0,2017.0,1,2024,2
305,110030.0,2017.0,1,2529,1
306,110030.0,2017.0,1,3034,1
307,110030.0,2017.0,1,3539,1
308,110030.0,2017.0,1,4,3
309,110030.0,2017.0,2,4,2
310,110030.0,2019.0,1,1014,1
311,110030.0,2019.0,1,2529,2
312,110030.0,2019.0,1,3034,1
313,110030.0,2019.0,1,3539,2
314,110030.0,2019.0,1,4044,1
315,110030.0,2019.0,1,6569,1
316,110030.0,2019.0,2,7074,1
317,110033.0,2016.0,1,1519,1
318,110037.0,2016.0,1,1519,1
319,110037.0,2016.0,2,2529,1
320,110050.0,2016.0,1,1014,1
321,110050.0,2016.0,1,2529,1
322,110050.0,2016.0,1,3034,1
323,110050.0,2016.0,1,3539,1
324,110050.0,2016.0,1,4,2
325,110050.0,2016.0,1,4044,1
326,110050.0,2016.0,1,4549,2
327,110050.0,2016.0,1,5054,1
328,110050.0,2016.0,1,5559,1
329,110050.0,2016.0,1,6064,1
330,110050.0,2016.0,2,1519,1
331,110050.0,2016.0,2,4044,1
332,110050.0,2019.0,2,3539,1
333,110050.0,2019.0,2,5054,1
334,110050.0,2019.0,2,5559,1
335,110080.0,2016.0,1,2529,2
336,110080.0,2016.0,1,4044,1
337,110080.0,2019.0,1,5559,1
338,110080.0,2019.0,2,7579,1
339,110092.0,2016.0,1,1014,1
340,110092.0,2016.0,1,1519,1
341,110092.0,2016.0,1,2529,1
342,110092.0,2016.0,1,3539,1
343,110092.0,2016.0,1,4,1
344,110092.0,2016.0,1,4044,2
345,110092.0,2016.0,1,4549,1
346,110092.0,2016.0,1,5054,1
347,110092.0,2016.0,1,5559,2
348,110092.0,2016.0,2,1014,2
349,110092.0,2016.0,2,3034,2
350,110092.0,2016.0,2,3539,1
351,110092.0,2016.0,2,4,1
352,110092.0,2016.0,2,509,1
353,110094.0,2016.0,1,2529,1
354,110110.0,2016.0,1,2024,2
355,110120.0,2016.0,1,2529,1
356,110120.0,2016.0,1,4,2
357,110146.0,2017.0,1,4,1
358,110146.0,2017.0,2,1014,1
359,110146.0,2017.0,2,509,2
360,110146.0,2017.0,2,5559,1
361,110155.0,2016.0,1,4044,1
362,110170.0,2016.0,1,3034,1
